model_name,encoding,parameters,training_time,model_file,metadata_file,accuracy,f1_score_weighted,f1_score_macro,precision_weighted,precision_macro,recall_weighted,recall_macro
SVM,AS_One Hot,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",363.7328474521637,modelos/SVM/AS_One Hot.joblib,modelos/SVM/AS_One Hot_metadata.json,0.9974137931034482,0.997413388945471,0.9974133889454712,0.9974768713204373,0.9974768713204374,0.9974137931034482,0.9974137931034484
Random Forest,AS_One Hot,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2}",7.433212518692017,modelos/RandomForest/AS_One Hot.joblib,modelos/RandomForest/AS_One Hot_metadata.json,0.996551724137931,0.996551185260628,0.9965511852606281,0.9966358284272497,0.9966358284272497,0.996551724137931,0.996551724137931
XGBoost,AS_One Hot,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7}",150.86130094528198,modelos/XGBoost/AS_One Hot.joblib,modelos/XGBoost/AS_One Hot_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549202,0.996551724137931,0.996551724137931
SVM,AS_K-mers,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",33.79951858520508,modelos/SVM/AS_K-mers.joblib,modelos/SVM/AS_K-mers_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549202,0.996551724137931,0.996551724137931
Random Forest,AS_K-mers,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2}",4.644125938415527,modelos/RandomForest/AS_K-mers.joblib,modelos/RandomForest/AS_K-mers_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549202,0.996551724137931,0.996551724137931
XGBoost,AS_K-mers,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7}",90.54542827606201,modelos/XGBoost/AS_K-mers.joblib,modelos/XGBoost/AS_K-mers_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549202,0.996551724137931,0.996551724137931
SVM,AS_FFT,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",18.270333290100098,modelos/SVM/AS_FFT.joblib,modelos/SVM/AS_FFT_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549202,0.996551724137931,0.996551724137931
Random Forest,AS_FFT,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10}",32.85966491699219,modelos/RandomForest/AS_FFT.joblib,modelos/RandomForest/AS_FFT_metadata.json,0.9956896551724138,0.9956889815757849,0.9956889815757851,0.9957947855340621,0.9957947855340623,0.9956896551724138,0.9956896551724138
XGBoost,AS_FFT,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7}",136.4861068725586,modelos/XGBoost/AS_FFT.joblib,modelos/XGBoost/AS_FFT_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549203,0.996551724137931,0.996551724137931
SVM,AS_Wavelet,"{'kernel': 'rbf', 'C': 100, 'gamma': 'scale'}",45.948777198791504,modelos/SVM/AS_Wavelet.joblib,modelos/SVM/AS_Wavelet_metadata.json,0.996551724137931,0.996561568506223,0.996561568506223,0.9966758780888301,0.9966758780888301,0.996551724137931,0.996551724137931
Random Forest,AS_Wavelet,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}",1.701986312866211,modelos/RandomForest/AS_Wavelet.joblib,modelos/RandomForest/AS_Wavelet_metadata.json,0.996551724137931,0.9965617032255487,0.9965617032255487,0.9966548520165004,0.9966548520165004,0.996551724137931,0.996551724137931
XGBoost,AS_Wavelet,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7}",44.10460901260376,modelos/XGBoost/AS_Wavelet.joblib,modelos/XGBoost/AS_Wavelet_metadata.json,0.996551724137931,0.996561568506223,0.996561568506223,0.9966758780888301,0.9966758780888302,0.996551724137931,0.996551724137931
SVM,AS_K-mers + FFT,"{'kernel': 'rbf', 'C': 1, 'gamma': 'scale'}",17.831908702850342,modelos/SVM/AS_K-mers + FFT.joblib,modelos/SVM/AS_K-mers + FFT_metadata.json,0.996551724137931,0.996561568506223,0.996561568506223,0.9966758780888301,0.9966758780888301,0.996551724137931,0.996551724137931
Random Forest,AS_K-mers + FFT,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2}",24.92981457710266,modelos/RandomForest/AS_K-mers + FFT.joblib,modelos/RandomForest/AS_K-mers + FFT_metadata.json,0.996551724137931,0.996561568506223,0.996561568506223,0.9966758780888301,0.9966758780888301,0.996551724137931,0.996551724137931
XGBoost,AS_K-mers + FFT,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7}",134.0355908870697,modelos/XGBoost/AS_K-mers + FFT.joblib,modelos/XGBoost/AS_K-mers + FFT_metadata.json,0.9948275862068966,0.9948270473295936,0.9948270473295935,0.9949116904962152,0.9949116904962153,0.9948275862068966,0.9948275862068966
SVM,AS_One Hot + FFT,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",151.87720108032227,modelos/SVM/AS_One Hot + FFT.joblib,modelos/SVM/AS_One Hot + FFT_metadata.json,0.996551724137931,0.996561568506223,0.996561568506223,0.9966758780888301,0.9966758780888301,0.996551724137931,0.996551724137931
Random Forest,AS_One Hot + FFT,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2}",58.644569396972656,modelos/RandomForest/AS_One Hot + FFT.joblib,modelos/RandomForest/AS_One Hot + FFT_metadata.json,0.996551724137931,0.996551185260628,0.9965511852606281,0.9966358284272497,0.9966358284272497,0.996551724137931,0.996551724137931
XGBoost,AS_One Hot + FFT,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7}",897.8640065193176,modelos/XGBoost/AS_One Hot + FFT.joblib,modelos/XGBoost/AS_One Hot + FFT_metadata.json,0.9956896551724138,0.9956889815757851,0.9956889815757851,0.9957947855340623,0.9957947855340621,0.9956896551724138,0.9956896551724138
SVM,AS_K-mers + Wavelet,"{'kernel': 'rbf', 'C': 100, 'gamma': 'scale'}",31.59714674949646,modelos/SVM/AS_K-mers + Wavelet.joblib,modelos/SVM/AS_K-mers + Wavelet_metadata.json,0.9974137931034482,0.997413388945471,0.9974133889454712,0.9974768713204373,0.9974768713204374,0.9974137931034482,0.9974137931034484
Random Forest,AS_K-mers + Wavelet,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10}",4.845136880874634,modelos/RandomForest/AS_K-mers + Wavelet.joblib,modelos/RandomForest/AS_K-mers + Wavelet_metadata.json,0.996551724137931,0.996561568506223,0.996561568506223,0.9966758780888301,0.9966758780888301,0.996551724137931,0.996551724137931
XGBoost,AS_K-mers + Wavelet,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.8}",135.6045527458191,modelos/XGBoost/AS_K-mers + Wavelet.joblib,modelos/XGBoost/AS_K-mers + Wavelet_metadata.json,0.996551724137931,0.9965513199799537,0.9965513199799538,0.9966148023549201,0.9966148023549202,0.996551724137931,0.996551724137931
SVM,AS_One Hot + Wavelet,"{'kernel': 'rbf', 'C': 100, 'gamma': 'auto'}",352.91135478019714,modelos/SVM/AS_One Hot + Wavelet.joblib,modelos/SVM/AS_One Hot + Wavelet_metadata.json,0.9974137931034482,0.997413388945471,0.9974133889454712,0.9974768713204373,0.9974768713204374,0.9974137931034482,0.9974137931034484
Random Forest,AS_One Hot + Wavelet,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10}",2.567432403564453,modelos/RandomForest/AS_One Hot + Wavelet.joblib,modelos/RandomForest/AS_One Hot + Wavelet_metadata.json,0.9974137931034482,0.997413388945471,0.9974133889454712,0.9974768713204373,0.9974768713204374,0.9974137931034482,0.9974137931034484
XGBoost,AS_One Hot + Wavelet,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.3, 'subsample': 0.7, 'colsample_bytree': 0.9}",204.75985312461853,modelos/XGBoost/AS_One Hot + Wavelet.joblib,modelos/XGBoost/AS_One Hot + Wavelet_metadata.json,0.9956896551724138,0.9956891162951108,0.9956891162951108,0.9957737594617325,0.9957737594617326,0.9956896551724138,0.9956896551724138
SVM,PS_One Hot,"{'kernel': 'rbf', 'C': 100, 'gamma': 'auto'}",80.40581154823303,modelos/SVM/PS_One Hot.joblib,modelos/SVM/PS_One Hot_metadata.json,0.9706896551724138,0.9710109315843981,0.9710109315843984,0.9727098268096099,0.97270982680961,0.9706896551724138,0.970689655172414
Random Forest,PS_One Hot,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5}",6.1164820194244385,modelos/RandomForest/PS_One Hot.joblib,modelos/RandomForest/PS_One Hot_metadata.json,0.9672413793103448,0.9674966290342997,0.9674966290342997,0.96935967582577,0.9693596758257699,0.9672413793103448,0.9672413793103449
XGBoost,PS_One Hot,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7}",90.81559729576111,modelos/XGBoost/PS_One Hot.joblib,modelos/XGBoost/PS_One Hot_metadata.json,0.971551724137931,0.9717706745048533,0.9717706745048534,0.9727424202917121,0.9727424202917119,0.971551724137931,0.971551724137931
SVM,PS_K-mers,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",17.78519320487976,modelos/SVM/PS_K-mers.joblib,modelos/SVM/PS_K-mers_metadata.json,0.9724137931034482,0.9727371862262285,0.9727371862262285,0.9743770600645049,0.974377060064505,0.9724137931034482,0.9724137931034483
Random Forest,PS_K-mers,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2}",6.734415531158447,modelos/RandomForest/PS_K-mers.joblib,modelos/RandomForest/PS_K-mers_metadata.json,0.971551724137931,0.971812598255513,0.9718125982555131,0.9737656073064447,0.9737656073064448,0.971551724137931,0.971551724137931
XGBoost,PS_K-mers,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7}",59.748337268829346,modelos/XGBoost/PS_K-mers.joblib,modelos/XGBoost/PS_K-mers_metadata.json,0.9689655172413794,0.9692535921446718,0.969253592144672,0.9706272348054965,0.9706272348054967,0.9689655172413794,0.9689655172413794
SVM,PS_FFT,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'scale'}",2.8311684131622314,modelos/SVM/PS_FFT.joblib,modelos/SVM/PS_FFT_metadata.json,0.9913793103448276,0.991408063488179,0.9914080634881791,0.9917259494796804,0.9917259494796804,0.9913793103448276,0.9913793103448277
Random Forest,PS_FFT,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5}",14.15807032585144,modelos/RandomForest/PS_FFT.joblib,modelos/RandomForest/PS_FFT_metadata.json,0.9905172413793103,0.9905247945080375,0.9905247945080377,0.9908266250150187,0.9908266250150187,0.9905172413793103,0.9905172413793104
XGBoost,PS_FFT,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7}",26.984596014022827,modelos/XGBoost/PS_FFT.joblib,modelos/XGBoost/PS_FFT_metadata.json,0.9905172413793103,0.9905370648352199,0.99053706483522,0.9907445232087788,0.9907445232087789,0.9905172413793103,0.9905172413793104
SVM,PS_Wavelet,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'scale'}",9.809116125106812,modelos/SVM/PS_Wavelet.joblib,modelos/SVM/PS_Wavelet_metadata.json,0.9655172413793104,0.9659615062761804,0.9659615062761805,0.967751352922488,0.9677513529224879,0.9655172413793104,0.9655172413793104
Random Forest,PS_Wavelet,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5}",4.361795663833618,modelos/RandomForest/PS_Wavelet.joblib,modelos/RandomForest/PS_Wavelet_metadata.json,0.9793103448275862,0.9795270281031015,0.9795270281031014,0.9804238092132432,0.9804238092132432,0.9793103448275862,0.9793103448275862
XGBoost,PS_Wavelet,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.9}",35.74973177909851,modelos/XGBoost/PS_Wavelet.joblib,modelos/XGBoost/PS_Wavelet_metadata.json,0.9853448275862069,0.9853939332052591,0.9853939332052594,0.9858145424118393,0.9858145424118393,0.9853448275862069,0.9853448275862071
SVM,PS_K-mers + FFT,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'scale'}",2.658095359802246,modelos/SVM/PS_K-mers + FFT.joblib,modelos/SVM/PS_K-mers + FFT_metadata.json,0.9913793103448276,0.9913852432994925,0.9913852432994925,0.9917259494796804,0.9917259494796804,0.9913793103448276,0.9913793103448277
Random Forest,PS_K-mers + FFT,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10}",13.059581756591797,modelos/RandomForest/PS_K-mers + FFT.joblib,modelos/RandomForest/PS_K-mers + FFT_metadata.json,0.9922413793103448,0.9922506848013338,0.9922506848013338,0.9924496375505628,0.9924496375505627,0.9922413793103448,0.9922413793103451
XGBoost,PS_K-mers + FFT,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.7}",33.34111428260803,modelos/XGBoost/PS_K-mers + FFT.joblib,modelos/XGBoost/PS_K-mers + FFT_metadata.json,0.9896551724137931,0.9896419590513306,0.9896419590513308,0.9898844567263407,0.9898844567263407,0.9896551724137931,0.9896551724137932
SVM,PS_One Hot + FFT,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'scale'}",16.393216848373413,modelos/SVM/PS_One Hot + FFT.joblib,modelos/SVM/PS_One Hot + FFT_metadata.json,0.9922413793103448,0.992260124506135,0.9922601245061351,0.9925507629460532,0.992550762946053,0.9922413793103448,0.992241379310345
Random Forest,PS_One Hot + FFT,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5}",32.08765125274658,modelos/RandomForest/PS_One Hot + FFT.joblib,modelos/RandomForest/PS_One Hot + FFT_metadata.json,0.9939655172413793,0.9939854754166147,0.9939854754166146,0.9941717729985181,0.9941717729985181,0.9939655172413793,0.9939655172413794
XGBoost,PS_One Hot + FFT,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.8}",170.59714698791504,modelos/XGBoost/PS_One Hot + FFT.joblib,modelos/XGBoost/PS_One Hot + FFT_metadata.json,0.993103448275862,0.9931120796647088,0.9931120796647089,0.9933307301053307,0.9933307301053308,0.993103448275862,0.9931034482758622
SVM,PS_K-mers + Wavelet,"{'kernel': 'rbf', 'C': 100, 'gamma': 'scale'}",11.891130924224854,modelos/SVM/PS_K-mers + Wavelet.joblib,modelos/SVM/PS_K-mers + Wavelet_metadata.json,0.9706896551724138,0.9709585918819863,0.9709585918819862,0.9724616414774261,0.9724616414774263,0.9706896551724138,0.9706896551724138
Random Forest,PS_K-mers + Wavelet,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2}",6.1633570194244385,modelos/RandomForest/PS_K-mers + Wavelet.joblib,modelos/RandomForest/PS_K-mers + Wavelet_metadata.json,0.9818965517241379,0.9819541725096299,0.9819541725096299,0.9824623561367871,0.9824623561367872,0.9818965517241379,0.9818965517241381
XGBoost,PS_K-mers + Wavelet,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7}",43.63560342788696,modelos/XGBoost/PS_K-mers + Wavelet.joblib,modelos/XGBoost/PS_K-mers + Wavelet_metadata.json,0.9844827586206897,0.9845602883108251,0.9845602883108251,0.9851676988556719,0.9851676988556719,0.9844827586206897,0.9844827586206898
SVM,PS_One Hot + Wavelet,"{'kernel': 'rbf', 'C': 100, 'gamma': 'auto'}",78.59042835235596,modelos/SVM/PS_One Hot + Wavelet.joblib,modelos/SVM/PS_One Hot + Wavelet_metadata.json,0.9706896551724138,0.9710109315843981,0.9710109315843984,0.9727098268096099,0.97270982680961,0.9706896551724138,0.970689655172414
Random Forest,PS_One Hot + Wavelet,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2}",5.806066274642944,modelos/RandomForest/PS_One Hot + Wavelet.joblib,modelos/RandomForest/PS_One Hot + Wavelet_metadata.json,0.9689655172413794,0.9691302766697767,0.9691302766697767,0.9700046770666063,0.9700046770666063,0.9689655172413794,0.9689655172413794
XGBoost,PS_One Hot + Wavelet,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.9}",116.2351725101471,modelos/XGBoost/PS_One Hot + Wavelet.joblib,modelos/XGBoost/PS_One Hot + Wavelet_metadata.json,0.971551724137931,0.9717783095772384,0.9717783095772382,0.9731546877300077,0.9731546877300079,0.971551724137931,0.971551724137931
